License_Year_License_Number,Business_Name,Street_Address,City,State,Zip_Code,Business_Phone_Number,Classification_Code,Classification_Description,License_Expir_Date,Issue_Date,License_Fiscal_Year,License_Number,License_Status,License_Status_Description,Council_District,Council_District_Description,Full_Address,FID,lon,lat,type,loctype,address,north,south,east,west
2015-6631,"PLANET AID, INC.",0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(734) 947-9699,DBAC,DONATION BOXES AND CONTAINERS,2016-01-31T05:00:00Z,2015-02-05T05:00:00Z,2015,6631,IN,Incative and no longer licensed,NA,NA,"0 OUTSIDE CITY LIMITS, SOUTH BEND, IN 46601",4001,-86.25395189999999,41.6724038,postal_code,approximate,"south bend, in 46601, usa",41.6883039,41.6590361,-86.23015,-86.274856
2015-6630,"PLANET AID, INC.",0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(734) 947-9699,DBAC,DONATION BOXES AND CONTAINERS,2016-01-31T05:00:00Z,2015-02-05T05:00:00Z,2015,6630,IN,Incative and no longer licensed,NA,NA,"0 OUTSIDE CITY LIMITS, SOUTH BEND, IN 46601",4002,-86.25395189999999,41.6724038,postal_code,approximate,"south bend, in 46601, usa",41.6883039,41.6590361,-86.23015,-86.274856
2015-663,FIRST BRETHREN CHURCH,4909 S IRONWOOD DR,SOUTH BEND,IN,46614,(574) 291-4909,RESTAM,RESTAURANTS A-M,2016-02-28T05:00:00Z,2015-02-25T05:00:00Z,2015,663,RN,Renewed,SB5,COUNCIL DISTRICT 5,"4909 S IRONWOOD DR, SOUTH BEND, IN 46614",4003,-86.2164966,41.625186,premise,rooftop,"4909 s ironwood dr, south bend, in 46614, usa",41.6265583802915,41.6238604197085,-86.2151668697085,-86.2178648302915
2015-6629,"PLANET AID, INC.",0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(734) 947-9699,DBAC,DONATION BOXES AND CONTAINERS,2016-01-31T05:00:00Z,2015-02-19T05:00:00Z,2015,6629,IN,Incative and no longer licensed,NA,NA,"0 OUTSIDE CITY LIMITS, SOUTH BEND, IN 46601",4004,-86.25395189999999,41.6724038,postal_code,approximate,"south bend, in 46601, usa",41.6883039,41.6590361,-86.23015,-86.274856
2015-6628,"PLANET AID, INC.",0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(734) 947-9699,DBAC,DONATION BOXES AND CONTAINERS,2016-01-31T05:00:00Z,2015-04-09T04:00:00Z,2015,6628,IN,Incative and no longer licensed,NA,NA,"0 OUTSIDE CITY LIMITS, SOUTH BEND, IN 46601",4005,-86.25395189999999,41.6724038,postal_code,approximate,"south bend, in 46601, usa",41.6883039,41.6590361,-86.23015,-86.274856
2015-6627,"PLANET AID, INC.",0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(734) 947-9699,DBAC,DONATION BOXES AND CONTAINERS,2016-01-31T05:00:00Z,2015-02-11T05:00:00Z,2015,6627,IN,Incative and no longer licensed,NA,NA,"0 OUTSIDE CITY LIMITS, SOUTH BEND, IN 46601",4006,-86.25395189999999,41.6724038,postal_code,approximate,"south bend, in 46601, usa",41.6883039,41.6590361,-86.23015,-86.274856
2015-6626,"PLANET AID, INC.",0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(734) 947-9699,DBAC,DONATION BOXES AND CONTAINERS,2016-01-31T05:00:00Z,2015-02-16T05:00:00Z,2015,6626,IN,Incative and no longer licensed,NA,NA,"0 OUTSIDE CITY LIMITS, SOUTH BEND, IN 46601",4007,-86.25395189999999,41.6724038,postal_code,approximate,"south bend, in 46601, usa",41.6883039,41.6590361,-86.23015,-86.274856
2015-6625,"PLANET AID, INC.",0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(734) 947-9699,DBAC,DONATION BOXES AND CONTAINERS,2016-01-31T05:00:00Z,2015-04-09T04:00:00Z,2015,6625,IN,Incative and no longer licensed,NA,NA,"0 OUTSIDE CITY LIMITS, SOUTH BEND, IN 46601",4008,-86.25395189999999,41.6724038,postal_code,approximate,"south bend, in 46601, usa",41.6883039,41.6590361,-86.23015,-86.274856
2015-6624,"PLANET AID, INC.",0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(734) 947-9699,DBAC,DONATION BOXES AND CONTAINERS,2016-01-31T05:00:00Z,2015-02-05T05:00:00Z,2015,6624,IN,Incative and no longer licensed,NA,NA,"0 OUTSIDE CITY LIMITS, SOUTH BEND, IN 46601",4009,-86.25395189999999,41.6724038,postal_code,approximate,"south bend, in 46601, usa",41.6883039,41.6590361,-86.23015,-86.274856
2015-6618,OHIO MILLS C/O SPECIAL OLYMPIC,0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(317) 328-2000,DBAC,DONATION BOXES AND CONTAINERS,2016-01-31T05:00:00Z,2015-02-11T05:00:00Z,2015,6618,RN,Renewed,NA,NA,"0 OUTSIDE CITY LIMITS, SOUTH BEND, IN 46601",4010,-86.25395189999999,41.6724038,postal_code,approximate,"south bend, in 46601, usa",41.6883039,41.6590361,-86.23015,-86.274856
